"Theme","Topic","Author","Posted","Link","Views_20220706_023349","Replies_20220706_023349","Views_20220706_041308","Replies_20220706_041308","Views_20220706_053619","Replies_20220706_053619","Views_20220706_063216","Replies_20220706_063216","Views_20220706_072422","Replies_20220706_072422","Views_20220706_083343","Replies_20220706_083343","Views_20220706_092815","Replies_20220706_092815","Views_20220706_103114","Replies_20220706_103114","Views_20220706_113428","Replies_20220706_113428","Views_20220706_125702","Replies_20220706_125702","Views_20220706_135046","Replies_20220706_135046","Views_20220706_142512","Replies_20220706_142512","Views_20220706_153147","Replies_20220706_153147","Views_20220706_163944","Replies_20220706_163944","Views_20220706_173053","Replies_20220706_173053","Views_20220706_183219","Replies_20220706_183219","Views_20220706_192151","Replies_20220706_192151","Views_20220706_202740","Replies_20220706_202740"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",5967,1,5968,1,5968,1,5968,1,5968,1,5968,1,5968,1,5968,1,5969,1,5969,1,5969,1,5969,1,5969,1,5969,1,5969,1,5969,1,5969,1,5969,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",6056,1,6056,1,6056,1,6056,1,6056,1,6056,1,6056,1,6056,1,6057,1,6057,1,6057,1,6057,1,6057,1,6057,1,6057,1,6057,1,6057,1,6057,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",104,0,105,0,106,0,106,0,106,0,106,0,106,0,106,0,106,0,106,0,107,0,108,0,108,0,108,0,108,0,108,0,108,0,108,0
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",5616,1,5616,1,5616,1,5616,1,5616,1,5616,1,5616,1,5616,1,5616,1,5616,1,5616,1,5616,1,5616,1,5616,1,5616,1,5616,1,5616,1,5616,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin Walters","2018-08-01","https://www.en-net.org/question/3403.aspx",5657,3,5658,3,5658,3,5658,3,5658,3,5658,3,5658,3,5658,3,5658,3,5658,3,5658,3,5658,3,5658,3,5658,3,5658,3,5658,3,5658,3,5659,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",4515,1,4515,1,4515,1,4515,1,4515,1,4515,1,4515,1,4515,1,4515,1,4515,1,4516,1,4516,1,4516,1,4516,1,4516,1,4516,1,4516,1,4516,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",5829,2,5829,2,5829,2,5829,2,5829,2,5829,2,5829,2,5830,2,5830,2,5830,2,5830,2,5830,2,5830,2,5830,2,5830,2,5830,2,5830,2,5830,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",5826,3,5826,3,5826,3,5826,3,5826,3,5826,3,5826,3,5826,3,5826,3,5826,3,5826,3,5826,3,5826,3,5826,3,5826,3,5826,3,5826,3,5826,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",3273,1,3273,1,3273,1,3273,1,3273,1,3273,1,3273,1,3273,1,3273,1,3273,1,3273,1,3273,1,3273,1,3273,1,3273,1,3273,1,3273,1,3273,1
"Adolescent nutrition","health education intervention among adolescent girls","Anonymous 23844","2018-06-19","https://www.en-net.org/question/3357.aspx",5470,1,5470,1,5470,1,5470,1,5470,1,5471,1,5472,1,5472,1,5472,1,5472,1,5472,1,5472,1,5472,1,5472,1,5472,1,5472,1,5472,1,5472,1
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",4776,1,4777,1,4777,1,4777,1,4777,1,4777,1,4777,1,4777,1,4777,1,4777,1,4777,1,4777,1,4777,1,4777,1,4777,1,4777,1,4777,1,4777,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",5930,0,5930,0,5930,0,5931,0,5931,0,5931,0,5931,0,5931,0,5931,0,5931,0,5931,0,5931,0,5931,0,5931,0,5931,0,5931,0,5931,0,5931,0
"Adolescent nutrition","MUAC tape for adults and adolescents","Ikechukwu Eberendu","2018-09-27","https://www.en-net.org/question/3455.aspx",5797,1,5797,1,5797,1,5797,1,5797,1,5797,1,5797,1,5797,1,5797,1,5797,1,5797,1,5797,1,5797,1,5797,1,5797,1,5797,1,5797,1,5797,1
"Adolescent nutrition","Question arising from the ENN webinar:","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4226.aspx",3579,1,3579,1,3579,1,3579,1,3579,1,3579,1,3579,1,3579,1,3579,1,3579,1,3579,1,3579,1,3579,1,3579,1,3579,1,3579,1,3579,1,3579,1
"Adolescent nutrition","Reaching out of school adolescents","Emily Mates","2018-06-18","https://www.en-net.org/question/3355.aspx",6297,3,6297,3,6297,3,6297,3,6297,3,6297,3,6297,3,6297,3,6297,3,6297,3,6297,3,6297,3,6297,3,6297,3,6297,3,6297,3,6297,3,6298,3
"Adolescent nutrition","Research prioritisation exercise for nutrition of school-aged children and adolescents using the CHNRI methodology.","Tamsin Walters","2021-07-20","https://www.en-net.org/question/4358.aspx",3838,0,3838,0,3838,0,3838,0,3838,0,3838,0,3838,0,3838,0,3838,0,3838,0,3838,0,3838,0,3838,0,3838,0,3838,0,3838,0,3838,0,3838,0
"Adolescent nutrition","Teen/adolescent pregnancy and under-nutrition","Anne Holmes","2018-06-19","https://www.en-net.org/question/3358.aspx",5863,1,5864,1,5864,1,5864,1,5864,1,5864,1,5864,1,5864,1,5864,1,5864,1,5864,1,5864,1,5864,1,5864,1,5864,1,5864,1,5864,1,5864,1
"Adolescent nutrition","The Effect of Unplanned Pregnancy among Women Collage in Wadajir Distract Moqdisho Somalia","Mohamed Hassan Mohamed [ta'shir]","2021-02-01","https://www.en-net.org/question/4190.aspx",3753,0,3753,0,3753,0,3753,0,3753,0,3753,0,3753,0,3753,0,3753,0,3753,0,3753,0,3753,0,3753,0,3753,0,3753,0,3753,0,3753,0,3753,0
"Adolescent nutrition","Webinar question: 'enabling environments' for adolescent health and nutrition","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4227.aspx",3787,2,3787,2,3787,2,3787,2,3787,2,3787,2,3787,2,3787,2,3787,2,3787,2,3787,2,3787,2,3787,2,3787,2,3787,2,3787,2,3787,2,3787,2
"Adolescent nutrition","Webinar question: Are there guidelines for the use of food and nutrition in prevention and management of NCDs in adolescence in the context of school and at home?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4230.aspx",3933,1,3933,1,3933,1,3933,1,3933,1,3933,1,3933,1,3933,1,3933,1,3933,1,3933,1,3933,1,3933,1,3933,1,3933,1,3933,1,3933,1,3933,1
"Adolescent nutrition","Webinar question: can anyone share guidance to measure the dietary diversity for adolescents ?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4238.aspx",3488,0,3488,0,3488,0,3488,0,3488,0,3488,0,3489,0,3489,0,3489,0,3489,0,3489,0,3489,0,3489,0,3489,0,3489,0,3489,0,3489,0,3489,0
"Adolescent nutrition","Webinar question: Can you comment on how participatory activities for designing adolescent nutrition solutions can consider the gender and religious influences on adolescent nutrition ?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4255.aspx",4373,5,4373,5,4373,5,4373,5,4373,5,4373,5,4373,5,4373,5,4373,5,4373,5,4373,5,4373,5,4373,5,4373,5,4373,5,4373,5,4373,5,4373,5
"Adolescent nutrition","Webinar question: Could the appeal for using social media for improving nutrition knowledge and practices be different in urban areas vs. rural areas?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4254.aspx",3604,0,3604,0,3604,0,3604,0,3604,0,3604,0,3604,0,3604,0,3604,0,3604,0,3604,0,3605,0,3605,0,3605,0,3605,0,3605,0,3605,0,3606,0
"Adolescent nutrition","Webinar question: Given that our school curricular are loaded already, how best can nutrition education be dispensed in schools? What best practice evidence is there?","Stephanie Wrottesley","2021-03-11","https://www.en-net.org/question/4244.aspx",4837,7,4837,7,4837,7,4837,7,4837,7,4837,7,4837,7,4837,7,4837,7,4837,7,4837,7,4837,7,4837,7,4837,7,4837,7,4837,7,4837,7,4837,7
"Adolescent nutrition","Webinar question: How can an ethnographic, participatory approach to adolescent intervention be scaleable?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4253.aspx",3649,1,3649,1,3649,1,3649,1,3649,1,3649,1,3649,1,3649,1,3649,1,3649,1,3649,1,3649,1,3649,1,3649,1,3649,1,3649,1,3649,1,3649,1
"Adolescent nutrition","Webinar question: I would be interested to know about any work or insights into eating disorders amongst adolescents in LMICs?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4234.aspx",3506,0,3506,0,3506,0,3506,0,3506,0,3506,0,3506,0,3506,0,3507,0,3507,0,3507,0,3507,0,3507,0,3507,0,3507,0,3507,0,3507,0,3508,0
"Adolescent nutrition","Webinar question: Is there any attempt to use MUAC for adolescent?","NATASHA LELIJVELD","2021-03-02","https://www.en-net.org/question/4219.aspx",3778,1,3779,1,3779,1,3779,1,3779,1,3779,1,3779,1,3779,1,3779,1,3779,1,3779,1,3779,1,3779,1,3779,1,3779,1,3779,1,3779,1,3779,1
"Adolescent nutrition","Webinar question: Is there information, or any studies, on nutrition status among adolescents living with HIV?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4233.aspx",3520,0,3520,0,3520,0,3520,0,3520,0,3520,0,3520,0,3520,0,3520,0,3520,0,3520,0,3520,0,3520,0,3520,0,3520,0,3520,0,3520,0,3520,0
"Adolescent nutrition","Webinar question: What major interventions should we focus on to improve adolescent nutrition?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4239.aspx",3809,1,3809,1,3809,1,3809,1,3809,1,3809,1,3809,1,3809,1,3809,1,3809,1,3809,1,3809,1,3809,1,3809,1,3809,1,3809,1,3809,1,3809,1
