"Theme","Topic","Author","Posted","Link","Views_20231108_004745","Replies_20231108_004745","Views_20231108_015427","Replies_20231108_015427","Views_20231108_022925","Replies_20231108_022925","Views_20231108_031710","Replies_20231108_031710","Views_20231108_042013","Replies_20231108_042013","Views_20231108_051901","Replies_20231108_051901","Views_20231108_062127","Replies_20231108_062127","Views_20231108_071557","Replies_20231108_071557","Views_20231108_082214","Replies_20231108_082214","Views_20231108_091907","Replies_20231108_091907","Views_20231108_101913","Replies_20231108_101913","Views_20231108_111713","Replies_20231108_111713","Views_20231108_122603","Replies_20231108_122603","Views_20231108_132058","Replies_20231108_132058","Views_20231108_141830","Replies_20231108_141830","Views_20231108_151917","Replies_20231108_151917","Views_20231108_162044","Replies_20231108_162044","Views_20231108_171557","Replies_20231108_171557"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",7066,1,7068,1,7068,1,7068,1,7068,1,7069,1,7069,1,7069,1,7069,1,7069,1,7069,1,7069,1,7071,1,7071,1,7071,1,7073,1,7073,1,7073,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",7098,1,7100,1,7100,1,7100,1,7100,1,7101,1,7102,1,7102,1,7102,1,7102,1,7102,1,7102,1,7103,1,7104,1,7104,1,7106,1,7106,1,7106,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",1150,0,1150,0,1150,0,1150,0,1150,0,1151,0,1151,0,1151,0,1151,0,1151,0,1151,0,1151,0,1152,0,1152,0,1153,0,1153,0,1153,0,1153,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",898,1,899,1,900,1,900,1,900,1,901,1,901,1,901,1,901,1,901,1,901,1,901,1,903,1,903,1,903,1,903,1,903,1,903,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6605,1,6607,1,6607,1,6607,1,6607,1,6608,1,6608,1,6608,1,6608,1,6608,1,6608,1,6608,1,6609,1,6609,1,6609,1,6609,1,6609,1,6609,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6618,3,6620,3,6620,3,6620,3,6620,3,6621,3,6621,3,6621,3,6621,3,6621,3,6621,3,6622,3,6623,3,6624,3,6624,3,6624,3,6624,3,6624,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",5515,1,5517,1,5517,1,5519,1,5519,1,5521,1,5521,1,5521,1,5521,1,5521,1,5521,1,5521,1,5522,1,5522,1,5522,1,5522,1,5524,1,5524,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6865,2,6867,2,6867,2,6867,2,6867,2,6868,2,6868,2,6869,2,6869,2,6869,2,6869,2,6869,2,6870,2,6872,2,6873,2,6875,2,6875,2,6875,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6912,3,6914,3,6914,3,6914,3,6914,3,6915,3,6915,3,6915,3,6915,3,6915,3,6915,3,6915,3,6916,3,6919,3,6919,3,6919,3,6919,3,6920,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",4289,1,4290,1,4291,1,4291,1,4291,1,4292,1,4292,1,4292,1,4292,1,4292,1,4292,1,4292,1,4293,1,4293,1,4293,1,4293,1,4293,1,4293,1
"Adolescent nutrition","health education intervention among adolescent girls","Anonymous 23844","2018-06-19","https://www.en-net.org/question/3357.aspx",6548,1,6550,1,6550,1,6550,1,6550,1,6551,1,6551,1,6551,1,6551,1,6551,1,6551,1,6551,1,6553,1,6553,1,6553,1,6555,1,6555,1,6555,1
"Adolescent nutrition","Is dietary diversity score-Women a good score for adolescents?","Anonymous 35931","2023-09-07","https://www.en-net.org/question/4933.aspx",297,1,298,1,299,1,299,1,299,1,300,1,300,1,300,1,300,1,300,1,300,1,301,1,302,1,302,1,302,1,302,1,302,1,303,1
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",5853,1,5853,1,5853,1,5853,1,5853,1,5854,1,5854,1,5854,1,5854,1,5854,1,5855,1,5855,1,5857,1,5857,1,5857,1,5858,1,5859,1,5859,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",6992,0,6994,0,6994,0,6994,0,6995,0,6996,0,6996,0,6996,0,6996,0,6996,0,6996,0,6996,0,6998,0,6998,0,6998,0,7000,0,7000,0,7000,0
"Adolescent nutrition","MUAC tape for adults and adolescents","Ikechukwu Eberendu","2018-09-27","https://www.en-net.org/question/3455.aspx",6844,1,6846,1,6846,1,6846,1,6846,1,6847,1,6847,1,6847,1,6847,1,6847,1,6847,1,6847,1,6848,1,6849,1,6849,1,6851,1,6851,1,6851,1
"Adolescent nutrition","Question arising from the ENN webinar:","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4226.aspx",4474,1,4476,1,4476,1,4476,1,4476,1,4477,1,4477,1,4477,1,4477,1,4477,1,4477,1,4477,1,4478,1,4479,1,4479,1,4480,1,4481,1,4481,1
"Adolescent nutrition","Reaching out of school adolescents","Emily Mates","2018-06-18","https://www.en-net.org/question/3355.aspx",7434,3,7436,3,7436,3,7436,3,7436,3,7437,3,7437,3,7437,3,7437,3,7437,3,7437,3,7437,3,7439,3,7440,3,7440,3,7442,3,7442,3,7442,3
"Adolescent nutrition","Research prioritisation exercise for nutrition of school-aged children and adolescents using the CHNRI methodology.","Tamsin","2021-07-20","https://www.en-net.org/question/4358.aspx",4840,0,4842,0,4842,0,4842,0,4842,0,4843,0,4843,0,4843,0,4843,0,4843,0,4843,0,4843,0,4844,0,4844,0,4844,0,4844,0,4844,0,4844,0
"Adolescent nutrition","Stages of adolescence","Anonymous 35931","2023-02-08","https://www.en-net.org/question/4779.aspx",661,1,662,1,663,1,663,1,663,1,664,1,664,1,664,1,664,1,664,1,664,1,664,1,665,1,665,1,666,1,667,1,668,1,668,1
"Adolescent nutrition","Teen/adolescent pregnancy and under-nutrition","Anne Holmes","2018-06-19","https://www.en-net.org/question/3358.aspx",7005,1,7007,1,7007,1,7007,1,7007,1,7008,1,7008,1,7008,1,7008,1,7008,1,7008,1,7008,1,7010,1,7010,1,7010,1,7012,1,7012,1,7012,1
"Adolescent nutrition","The Effect of Unplanned Pregnancy among Women Collage in Wadajir Distract Moqdisho Somalia","Mohamed Hassan Mohamed","2021-02-01","https://www.en-net.org/question/4190.aspx",4668,0,4670,0,4671,0,4673,0,4673,0,4674,0,4674,0,4674,0,4674,0,4674,0,4674,0,4674,0,4675,0,4675,0,4675,0,4676,0,4676,0,4678,0
"Adolescent nutrition","Webinar question: 'enabling environments' for adolescent health and nutrition","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4227.aspx",4736,2,4736,2,4736,2,4736,2,4736,2,4737,2,4738,2,4738,2,4738,2,4738,2,4738,2,4738,2,4739,2,4740,2,4740,2,4741,2,4742,2,4742,2
"Adolescent nutrition","Webinar question: Are there guidelines for the use of food and nutrition in prevention and management of NCDs in adolescence in the context of school and at home?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4230.aspx",4867,1,4869,1,4869,1,4869,1,4869,1,4870,1,4870,1,4870,1,4870,1,4870,1,4870,1,4871,1,4872,1,4872,1,4872,1,4872,1,4872,1,4872,1
