"Theme","Topic","Author","Posted","Link","Views_20221127_005511","Replies_20221127_005511","Views_20221127_023831","Replies_20221127_023831","Views_20221127_033756","Replies_20221127_033756","Views_20221127_041324","Replies_20221127_041324","Views_20221127_051127","Replies_20221127_051127","Views_20221127_061451","Replies_20221127_061451","Views_20221127_071047","Replies_20221127_071047","Views_20221127_081350","Replies_20221127_081350","Views_20221127_091102","Replies_20221127_091102","Views_20221127_101203","Replies_20221127_101203","Views_20221127_111015","Replies_20221127_111015","Views_20221127_121823","Replies_20221127_121823","Views_20221127_131923","Replies_20221127_131923","Views_20221127_141033","Replies_20221127_141033","Views_20221127_151129","Replies_20221127_151129","Views_20221127_161349","Replies_20221127_161349","Views_20221127_171021","Replies_20221127_171021","Views_20221127_181319","Replies_20221127_181319","Views_20221127_190953","Replies_20221127_190953","Views_20221127_201217","Replies_20221127_201217"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",6355,1,6355,1,6355,1,6355,1,6355,1,6356,1,6357,1,6357,1,6357,1,6357,1,6357,1,6357,1,6357,1,6357,1,6357,1,6357,1,6357,1,6357,1,6357,1,6357,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",6419,1,6419,1,6419,1,6419,1,6420,1,6421,1,6422,1,6422,1,6422,1,6424,1,6424,1,6424,1,6424,1,6424,1,6425,1,6425,1,6425,1,6425,1,6425,1,6425,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",436,0,436,0,436,0,436,0,436,0,436,0,437,0,438,0,439,0,439,0,439,0,439,0,439,0,439,0,439,0,439,0,439,0,439,0,439,0,439,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",92,0,93,0,94,0,95,0,97,0,98,0,99,0,99,0,100,0,102,0,102,0,103,0,103,0,105,0,105,0,106,0,106,0,106,0,106,0,106,0
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",5946,1,5946,1,5946,1,5946,1,5948,1,5949,1,5950,1,5950,1,5950,1,5950,1,5950,1,5950,1,5950,1,5950,1,5950,1,5950,1,5950,1,5950,1,5950,1,5950,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",5967,3,5967,3,5967,3,5967,3,5967,3,5968,3,5969,3,5969,3,5970,3,5970,3,5970,3,5970,3,5971,3,5971,3,5972,3,5972,3,5972,3,5972,3,5972,3,5972,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",4836,1,4836,1,4836,1,4836,1,4836,1,4836,1,4838,1,4838,1,4838,1,4839,1,4839,1,4839,1,4839,1,4839,1,4839,1,4839,1,4839,1,4839,1,4839,1,4839,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6184,2,6184,2,6184,2,6184,2,6184,2,6185,2,6186,2,6186,2,6186,2,6186,2,6186,2,6187,2,6187,2,6187,2,6187,2,6187,2,6188,2,6188,2,6188,2,6188,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6238,3,6239,3,6239,3,6239,3,6239,3,6240,3,6241,3,6241,3,6242,3,6242,3,6242,3,6242,3,6242,3,6242,3,6242,3,6242,3,6242,3,6242,3,6242,3,6242,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",3607,1,3607,1,3607,1,3607,1,3607,1,3607,1,3609,1,3609,1,3610,1,3610,1,3610,1,3610,1,3610,1,3610,1,3610,1,3610,1,3610,1,3610,1,3610,1,3610,1
"Adolescent nutrition","health education intervention among adolescent girls","Anonymous 23844","2018-06-19","https://www.en-net.org/question/3357.aspx",5865,1,5865,1,5865,1,5865,1,5865,1,5866,1,5867,1,5868,1,5868,1,5868,1,5868,1,5868,1,5868,1,5868,1,5869,1,5869,1,5869,1,5869,1,5869,1,5869,1
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",5140,1,5140,1,5140,1,5140,1,5140,1,5140,1,5142,1,5142,1,5142,1,5142,1,5143,1,5143,1,5143,1,5144,1,5144,1,5144,1,5144,1,5144,1,5144,1,5144,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",6269,0,6269,0,6269,0,6269,0,6269,0,6270,0,6271,0,6271,0,6272,0,6272,0,6272,0,6272,0,6272,0,6272,0,6272,0,6273,0,6273,0,6273,0,6273,0,6273,0
"Adolescent nutrition","MUAC tape for adults and adolescents","Ikechukwu Eberendu","2018-09-27","https://www.en-net.org/question/3455.aspx",6157,1,6157,1,6157,1,6157,1,6158,1,6159,1,6160,1,6160,1,6160,1,6160,1,6160,1,6161,1,6161,1,6161,1,6161,1,6161,1,6161,1,6161,1,6161,1,6161,1
"Adolescent nutrition","Question arising from the ENN webinar:","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4226.aspx",3837,1,3837,1,3837,1,3837,1,3837,1,3837,1,3839,1,3839,1,3839,1,3839,1,3839,1,3839,1,3839,1,3839,1,3839,1,3839,1,3839,1,3839,1,3839,1,3839,1
"Adolescent nutrition","Reaching out of school adolescents","Emily Mates","2018-06-18","https://www.en-net.org/question/3355.aspx",6643,3,6643,3,6643,3,6643,3,6643,3,6644,3,6645,3,6645,3,6646,3,6646,3,6646,3,6646,3,6646,3,6646,3,6646,3,6646,3,6646,3,6646,3,6646,3,6647,3
"Adolescent nutrition","Research prioritisation exercise for nutrition of school-aged children and adolescents using the CHNRI methodology.","Tamsin","2021-07-20","https://www.en-net.org/question/4358.aspx",4171,0,4171,0,4171,0,4171,0,4171,0,4171,0,4173,0,4173,0,4173,0,4174,0,4174,0,4174,0,4175,0,4175,0,4175,0,4175,0,4175,0,4175,0,4176,0,4176,0
"Adolescent nutrition","Teen/adolescent pregnancy and under-nutrition","Anne Holmes","2018-06-19","https://www.en-net.org/question/3358.aspx",6205,1,6205,1,6205,1,6205,1,6205,1,6206,1,6207,1,6207,1,6207,1,6207,1,6207,1,6207,1,6207,1,6207,1,6207,1,6208,1,6208,1,6208,1,6208,1,6208,1
"Adolescent nutrition","The Effect of Unplanned Pregnancy among Women Collage in Wadajir Distract Moqdisho Somalia","Mohamed Hassan Mohamed","2021-02-01","https://www.en-net.org/question/4190.aspx",4066,0,4066,0,4066,0,4066,0,4066,0,4066,0,4068,0,4068,0,4069,0,4069,0,4069,0,4069,0,4069,0,4069,0,4069,0,4069,0,4069,0,4069,0,4069,0,4069,0
"Adolescent nutrition","Webinar question: 'enabling environments' for adolescent health and nutrition","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4227.aspx",4090,2,4090,2,4090,2,4090,2,4090,2,4090,2,4092,2,4092,2,4092,2,4093,2,4093,2,4093,2,4093,2,4093,2,4093,2,4093,2,4094,2,4094,2,4094,2,4094,2
"Adolescent nutrition","Webinar question: Are there guidelines for the use of food and nutrition in prevention and management of NCDs in adolescence in the context of school and at home?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4230.aspx",4238,1,4238,1,4238,1,4238,1,4238,1,4238,1,4240,1,4240,1,4240,1,4241,1,4241,1,4241,1,4241,1,4241,1,4241,1,4241,1,4241,1,4241,1,4241,1,4241,1
"Adolescent nutrition","Webinar question: can anyone share guidance to measure the dietary diversity for adolescents ?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4238.aspx",3768,0,3768,0,3768,0,3768,0,3768,0,3768,0,3770,0,3770,0,3770,0,3771,0,3771,0,3771,0,3771,0,3771,0,3771,0,3771,0,3771,0,3771,0,3771,0,3771,0
"Adolescent nutrition","Webinar question: Can you comment on how participatory activities for designing adolescent nutrition solutions can consider the gender and religious influences on adolescent nutrition ?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4255.aspx",4696,5,4696,5,4696,5,4696,5,4696,5,4696,5,4698,5,4698,5,4698,5,4698,5,4698,5,4698,5,4698,5,4698,5,4698,5,4698,5,4698,5,4698,5,4698,5,4698,5
"Adolescent nutrition","Webinar question: Could the appeal for using social media for improving nutrition knowledge and practices be different in urban areas vs. rural areas?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4254.aspx",3912,0,3912,0,3912,0,3912,0,3912,0,3912,0,3914,0,3914,0,3914,0,3914,0,3914,0,3914,0,3914,0,3914,0,3914,0,3914,0,3914,0,3914,0,3914,0,3914,0
"Adolescent nutrition","Webinar question: Given that our school curricular are loaded already, how best can nutrition education be dispensed in schools? What best practice evidence is there?","Stephanie Wrottesley","2021-03-11","https://www.en-net.org/question/4244.aspx",5147,7,5147,7,5147,7,5147,7,5147,7,5147,7,5149,7,5149,7,5149,7,5150,7,5150,7,5150,7,5150,7,5150,7,5150,7,5150,7,5150,7,5150,7,5150,7,5150,7
"Adolescent nutrition","Webinar question: How can an ethnographic, participatory approach to adolescent intervention be scaleable?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4253.aspx",4040,1,4040,1,4040,1,4040,1,4040,1,4040,1,4043,1,4043,1,4043,1,4043,1,4043,1,4043,1,4043,1,4043,1,4043,1,4043,1,4043,1,4043,1,4043,1,4043,1
"Adolescent nutrition","Webinar question: I would be interested to know about any work or insights into eating disorders amongst adolescents in LMICs?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4234.aspx",3764,0,3764,0,3764,0,3764,0,3764,0,3764,0,3766,0,3766,0,3766,0,3766,0,3766,0,3766,0,3766,0,3766,0,3766,0,3766,0,3766,0,3766,0,3766,0,3766,0
"Adolescent nutrition","Webinar question: Is there any attempt to use MUAC for adolescent?","NATASHA LELIJVELD","2021-03-02","https://www.en-net.org/question/4219.aspx",4143,1,4143,1,4143,1,4143,1,4143,1,4143,1,4145,1,4145,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1
"Adolescent nutrition","Webinar question: Is there information, or any studies, on nutrition status among adolescents living with HIV?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4233.aspx",3794,0,3794,0,3794,0,3794,0,3794,0,3794,0,3796,0,3796,0,3796,0,3796,0,3796,0,3796,0,3796,0,3796,0,3796,0,3796,0,3796,0,3796,0,3796,0,3796,0
"Adolescent nutrition","Webinar question: What major interventions should we focus on to improve adolescent nutrition?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4239.aspx",4116,1,4116,1,4116,1,4116,1,4116,1,4116,1,4118,1,4118,1,4119,1,4119,1,4119,1,4119,1,4119,1,4119,1,4119,1,4119,1,4119,1,4119,1,4119,1,4119,1
"Adolescent nutrition","Webinar question: What promising practices or evidence-based approaches have been effective in addressing adolescent anaemia?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4229.aspx",4022,1,4022,1,4022,1,4022,1,4022,1,4022,1,4024,1,4024,1,4024,1,4024,1,4024,1,4024,1,4024,1,4024,1,4024,1,4024,1,4024,1,4024,1,4024,1,4024,1
"Adolescent nutrition","Webinar question: What reference for z-scores should we use for adolescents?","NATASHA LELIJVELD","2021-03-02","https://www.en-net.org/question/4220.aspx",4077,2,4077,2,4077,2,4077,2,4077,2,4077,2,4079,2,4079,2,4079,2,4079,2,4079,2,4079,2,4079,2,4079,2,4079,2,4079,2,4079,2,4079,2,4079,2,4079,2
"Adolescent nutrition","Weekly Iron Folate Supplementation for Adolescent (WIFS)","ISAAC WACHIRA","2022-01-19","https://www.en-net.org/question/4471.aspx",3218,8,3218,8,3218,8,3218,8,3218,8,3218,8,3219,8,3220,8,3221,8,3221,8,3221,8,3221,8,3221,8,3221,8,3221,8,3222,8,3222,8,3222,8,3222,8,3222,8
"Announcements & Nutritionists needed","[Médecins du Monde France] REFERENT NUTRITION ET SANTE COMMUNAUTAIRE (H/F) - Haiti","MdM France","2011-03-30","https://www.en-net.org/question/387.aspx",9284,NA,9284,NA,9284,NA,9284,NA,9284,NA,9284,NA,9284,NA,9284,NA,9285,NA,9285,NA,9285,NA,9285,NA,9285,NA,9285,NA,9285,NA,9285,NA,9285,NA,9285,NA,9285,NA,9285,NA
"Announcements & Nutritionists needed","[Médecins du Monde France] REFERENT NUTRITION ET SANTE COMMUNAUTAIRE (H/F) - Haiti","MdM France","2011-03-30","https://www.en-net.org/question/388.aspx",9758,NA,9758,NA,9758,NA,9758,NA,9758,NA,9758,NA,9758,NA,9758,NA,9758,NA,9758,NA,9758,NA,9758,NA,9758,NA,9758,NA,9758,NA,9758,NA,9758,NA,9758,NA,9758,NA,9758,NA
