"Theme","Topic","Author","Posted","Link","Views_20240628_005821","Replies_20240628_005821","Views_20240628_021117","Replies_20240628_021117","Views_20240628_024614","Replies_20240628_024614","Views_20240628_032812","Replies_20240628_032812","Views_20240628_042724","Replies_20240628_042724","Views_20240628_052448","Replies_20240628_052448","Views_20240628_062937","Replies_20240628_062937","Views_20240628_072519","Replies_20240628_072519","Views_20240628_082616","Replies_20240628_082616","Views_20240628_092504","Replies_20240628_092504","Views_20240628_102621","Replies_20240628_102621","Views_20240628_112404","Replies_20240628_112404","Views_20240628_123258","Replies_20240628_123258","Views_20240628_132707","Replies_20240628_132707","Views_20240628_142528","Replies_20240628_142528","Views_20240628_152414","Replies_20240628_152414","Views_20240628_162749","Replies_20240628_162749","Views_20240628_172424","Replies_20240628_172424"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",7497,1,7497,1,7497,1,7497,1,7497,1,7497,1,7498,1,7498,1,7498,1,7498,1,7498,1,7498,1,7498,1,7498,1,7498,1,7498,1,7498,1,7499,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",7497,1,7497,1,7497,1,7497,1,7497,1,7497,1,7497,1,7497,1,7497,1,7497,1,7497,1,7497,1,7497,1,7497,1,7497,1,7497,1,7497,1,7497,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",1525,0,1525,0,1525,0,1525,0,1525,0,1525,0,1525,0,1525,0,1525,0,1525,0,1525,0,1525,0,1525,0,1525,0,1525,0,1525,0,1525,0,1525,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",1298,1,1298,1,1298,1,1298,1,1298,1,1298,1,1298,1,1298,1,1298,1,1298,1,1298,1,1298,1,1298,1,1298,1,1298,1,1298,1,1298,1,1298,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6974,1,6974,1,6974,1,6974,1,6974,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",7000,3,7000,3,7000,3,7000,3,7000,3,7000,3,7000,3,7000,3,7000,3,7000,3,7001,3,7001,3,7001,3,7001,3,7001,3,7001,3,7001,3,7001,3
"Adolescent nutrition","Adolescent-Friendly ANC in Pakistan - RFP for Formative Research","Jen","2024-02-12","https://www.en-net.org/question/5012.aspx",429,0,429,0,429,0,429,0,429,0,429,0,429,0,429,0,429,0,429,0,430,0,430,0,430,0,430,0,431,0,431,0,431,0,431,0
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",6067,1,6067,1,6068,1,6068,1,6068,1,6068,1,6068,1,6068,1,6068,1,6068,1,6068,1,6069,1,6069,1,6069,1,6069,1,6069,1,6069,1,6069,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",7384,2,7384,2,7384,2,7384,2,7384,2,7384,2,7385,2,7385,2,7385,2,7385,2,7385,2,7385,2,7385,2,7385,2,7385,2,7385,2,7385,2,7385,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",7371,3,7371,3,7371,3,7372,3,7372,3,7372,3,7372,3,7372,3,7372,3,7372,3,7372,3,7372,3,7372,3,7372,3,7372,3,7372,3,7372,3,7373,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",4679,1,4679,1,4679,1,4679,1,4679,1,4679,1,4679,1,4679,1,4679,1,4679,1,4679,1,4679,1,4679,1,4679,1,4679,1,4679,1,4680,1,4680,1
"Adolescent nutrition","health education intervention among adolescent girls","Anonymous 23844","2018-06-19","https://www.en-net.org/question/3357.aspx",7011,1,7011,1,7011,1,7011,1,7011,1,7011,1,7011,1,7011,1,7011,1,7011,1,7011,1,7011,1,7011,1,7011,1,7011,1,7011,1,7011,1,7011,1
"Adolescent nutrition","Is dietary diversity score-Women a good score for adolescents?","Anonymous 35931","2023-09-07","https://www.en-net.org/question/4933.aspx",740,1,740,1,740,1,740,1,740,1,740,1,740,1,740,1,740,1,740,1,740,1,740,1,740,1,740,1,740,1,740,1,741,1,741,1
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",6320,1,6320,1,6320,1,6320,1,6320,1,6320,1,6320,1,6320,1,6320,1,6320,1,6320,1,6320,1,6320,1,6320,1,6320,1,6320,1,6320,1,6320,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",7412,0,7412,0,7412,0,7413,0,7413,0,7413,0,7413,0,7413,0,7413,0,7413,0,7413,0,7413,0,7413,0,7413,0,7413,0,7413,0,7413,0,7413,0
"Adolescent nutrition","Mobilisation strategy to achieve adolescents targets","Najma ayub","2024-02-05","https://www.en-net.org/question/5008.aspx",505,4,505,4,505,4,505,4,505,4,505,4,505,4,505,4,505,4,505,4,505,4,505,4,505,4,506,4,506,4,507,4,507,4,507,4
"Adolescent nutrition","MUAC tape for adults and adolescents","Ikechukwu Eberendu","2018-09-27","https://www.en-net.org/question/3455.aspx",7326,1,7326,1,7326,1,7326,1,7326,1,7326,1,7326,1,7326,1,7326,1,7326,1,7326,1,7326,1,7326,1,7326,1,7326,1,7326,1,7326,1,7326,1
"Adolescent nutrition","Question arising from the ENN webinar:","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4226.aspx",4849,1,4849,1,4849,1,4849,1,4849,1,4849,1,4849,1,4849,1,4849,1,4849,1,4849,1,4849,1,4849,1,4849,1,4849,1,4849,1,4849,1,4849,1
"Adolescent nutrition","Reaching out of school adolescents","Emily Mates","2018-06-18","https://www.en-net.org/question/3355.aspx",7944,3,7944,3,7944,3,7944,3,7944,3,7944,3,7944,3,7944,3,7944,3,7944,3,7944,3,7944,3,7944,3,7944,3,7944,3,7944,3,7944,3,7944,3
"Adolescent nutrition","Research prioritisation exercise for nutrition of school-aged children and adolescents using the CHNRI methodology.","Tamsin","2021-07-20","https://www.en-net.org/question/4358.aspx",5217,0,5217,0,5217,0,5217,0,5217,0,5217,0,5217,0,5217,0,5217,0,5217,0,5217,0,5217,0,5217,0,5217,0,5217,0,5217,0,5217,0,5217,0
"Adolescent nutrition","Stages of adolescence","Anonymous 35931","2023-02-08","https://www.en-net.org/question/4779.aspx",1181,1,1181,1,1181,1,1181,1,1181,1,1181,1,1181,1,1181,1,1181,1,1181,1,1181,1,1181,1,1181,1,1181,1,1181,1,1181,1,1181,1,1181,1
"Adolescent nutrition","Teen/adolescent pregnancy and under-nutrition","Anne Holmes","2018-06-19","https://www.en-net.org/question/3358.aspx",7398,1,7398,1,7398,1,7398,1,7398,1,7398,1,7398,1,7398,1,7398,1,7398,1,7398,1,7398,1,7398,1,7398,1,7398,1,7398,1,7398,1,7398,1
"Adolescent nutrition","The Effect of Unplanned Pregnancy among Women Collage in Wadajir Distract Moqdisho Somalia","Mohamed Hassan Mohamed","2021-02-01","https://www.en-net.org/question/4190.aspx",5134,0,5134,0,5134,0,5134,0,5134,0,5134,0,5134,0,5134,0,5134,0,5134,0,5134,0,5134,0,5134,0,5134,0,5134,0,5134,0,5134,0,5134,0
"Adolescent nutrition","Webinar question: 'enabling environments' for adolescent health and nutrition","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4227.aspx",5121,2,5121,2,5121,2,5121,2,5121,2,5121,2,5121,2,5121,2,5121,2,5121,2,5121,2,5121,2,5121,2,5121,2,5121,2,5121,2,5121,2,5121,2
"Adolescent nutrition","Webinar question: Are there guidelines for the use of food and nutrition in prevention and management of NCDs in adolescence in the context of school and at home?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4230.aspx",5258,1,5258,1,5258,1,5258,1,5258,1,5258,1,5258,1,5258,1,5258,1,5258,1,5259,1,5259,1,5260,1,5260,1,5260,1,5261,1,5261,1,5261,1
"Adolescent nutrition","Webinar question: can anyone share guidance to measure the dietary diversity for adolescents ?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4238.aspx",4809,0,4809,0,4809,0,4809,0,4809,0,4809,0,4810,0,4810,0,4810,0,4810,0,4810,0,4810,0,4810,0,4810,0,4810,0,4810,0,4810,0,4810,0
"Adolescent nutrition","Webinar question: Can you comment on how participatory activities for designing adolescent nutrition solutions can consider the gender and religious influences on adolescent nutrition ?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4255.aspx",5759,5,5759,5,5759,5,5759,5,5759,5,5759,5,5760,5,5760,5,5760,5,5760,5,5760,5,5760,5,5760,5,5760,5,5760,5,5760,5,5760,5,5760,5
"Adolescent nutrition","Webinar question: Could the appeal for using social media for improving nutrition knowledge and practices be different in urban areas vs. rural areas?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4254.aspx",4954,0,4954,0,4954,0,4954,0,4954,0,4954,0,4954,0,4954,0,4954,0,4954,0,4955,0,4955,0,4955,0,4955,0,4955,0,4955,0,4955,0,4955,0
"Adolescent nutrition","Webinar question: Given that our school curricular are loaded already, how best can nutrition education be dispensed in schools? What best practice evidence is there?","Stephanie Wrottesley","2021-03-11","https://www.en-net.org/question/4244.aspx",6266,7,6266,7,6266,7,6266,7,6266,7,6266,7,6266,7,6267,7,6267,7,6267,7,6267,7,6267,7,6268,7,6268,7,6268,7,6268,7,6268,7,6268,7
"Adolescent nutrition","Webinar question: How can an ethnographic, participatory approach to adolescent intervention be scaleable?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4253.aspx",5140,1,5141,1,5141,1,5141,1,5141,1,5141,1,5142,1,5142,1,5142,1,5142,1,5142,1,5142,1,5142,1,5142,1,5142,1,5143,1,5143,1,5143,1
"Adolescent nutrition","Webinar question: I would be interested to know about any work or insights into eating disorders amongst adolescents in LMICs?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4234.aspx",4791,0,4791,0,4791,0,4791,0,4791,0,4791,0,4791,0,4792,0,4792,0,4792,0,4792,0,4792,0,4792,0,4792,0,4792,0,4792,0,4792,0,4792,0
"Adolescent nutrition","Webinar question: Is there any attempt to use MUAC for adolescent?","NATASHA LELIJVELD","2021-03-02","https://www.en-net.org/question/4219.aspx",5247,1,5247,1,5247,1,5247,1,5247,1,5247,1,5247,1,5247,1,5247,1,5247,1,5247,1,5247,1,5247,1,5247,1,5247,1,5247,1,5247,1,5247,1
"Adolescent nutrition","Webinar question: Is there information, or any studies, on nutrition status among adolescents living with HIV?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4233.aspx",4776,0,4776,0,4776,0,4776,0,4776,0,4776,0,4777,0,4777,0,4777,0,4777,0,4777,0,4777,0,4777,0,4777,0,4777,0,4777,0,4777,0,4777,0
"Adolescent nutrition","Webinar question: What major interventions should we focus on to improve adolescent nutrition?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4239.aspx",5233,1,5233,1,5233,1,5233,1,5233,1,5233,1,5233,1,5233,1,5233,1,5234,1,5234,1,5234,1,5234,1,5234,1,5234,1,5234,1,5234,1,5234,1
"Adolescent nutrition","Webinar question: What promising practices or evidence-based approaches have been effective in addressing adolescent anaemia?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4229.aspx",5025,1,5025,1,5025,1,5025,1,5025,1,5025,1,5025,1,5025,1,5025,1,5025,1,5025,1,5025,1,5025,1,5025,1,5025,1,5025,1,5025,1,5025,1
"Adolescent nutrition","Webinar question: What reference for z-scores should we use for adolescents?","NATASHA LELIJVELD","2021-03-02","https://www.en-net.org/question/4220.aspx",5147,2,5147,2,5147,2,5147,2,5147,2,5147,2,5147,2,5147,2,5147,2,5147,2,5147,2,5148,2,5148,2,5148,2,5148,2,5148,2,5148,2,5148,2
"Adolescent nutrition","Weekly Iron Folate Supplementation for Adolescent (WIFS)","ISAAC WACHIRA","2022-01-19","https://www.en-net.org/question/4471.aspx",4612,10,4612,10,4612,10,4612,10,4612,10,4612,10,4612,10,4612,10,4612,10,4612,10,4612,10,4612,10,4612,10,4612,10,4612,10,4612,10,4612,10,4612,10
