"Theme","Topic","Author","Posted","Link","Views_20231107_004852","Replies_20231107_004852","Views_20231107_022717","Replies_20231107_022717","Views_20231107_031934","Replies_20231107_031934","Views_20231107_041929","Replies_20231107_041929","Views_20231107_051904","Replies_20231107_051904","Views_20231107_061919","Replies_20231107_061919","Views_20231107_071747","Replies_20231107_071747","Views_20231107_081959","Replies_20231107_081959","Views_20231107_091723","Replies_20231107_091723","Views_20231107_101945","Replies_20231107_101945","Views_20231107_111525","Replies_20231107_111525","Views_20231107_122418","Replies_20231107_122418","Views_20231107_131852","Replies_20231107_131852","Views_20231107_141601","Replies_20231107_141601","Views_20231107_151832","Replies_20231107_151832","Views_20231107_161949","Replies_20231107_161949","Views_20231107_171650","Replies_20231107_171650","Views_20231107_182115","Replies_20231107_182115","Views_20231107_191532","Replies_20231107_191532","Views_20231107_202013","Replies_20231107_202013","Views_20231107_211814","Replies_20231107_211814","Views_20231107_221750","Replies_20231107_221750"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7062,1,7063,1,7063,1,7064,1,7064,1,7064,1,7065,1,7065,1,7065,1,7065,1,7065,1,7065,1,7065,1,7065,1,7065,1,7065,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",7094,1,7094,1,7094,1,7094,1,7094,1,7094,1,7094,1,7094,1,7095,1,7095,1,7095,1,7095,1,7095,1,7095,1,7095,1,7095,1,7095,1,7097,1,7097,1,7097,1,7097,1,7097,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",1144,0,1145,0,1145,0,1146,0,1146,0,1146,0,1146,0,1146,0,1147,0,1147,0,1147,0,1147,0,1147,0,1147,0,1147,0,1147,0,1147,0,1149,0,1149,0,1149,0,1149,0,1149,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",893,1,893,1,893,1,893,1,893,1,893,1,893,1,893,1,894,1,894,1,894,1,894,1,894,1,894,1,894,1,894,1,894,1,896,1,896,1,896,1,896,1,897,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6596,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6598,1,6598,1,6598,1,6599,1,6599,1,6599,1,6600,1,6601,1,6602,1,6604,1,6604,1,6604,1,6604,1,6604,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6614,3,6614,3,6614,3,6614,3,6614,3,6614,3,6614,3,6614,3,6615,3,6615,3,6615,3,6615,3,6615,3,6615,3,6615,3,6615,3,6615,3,6617,3,6617,3,6617,3,6617,3,6617,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",5510,1,5510,1,5510,1,5510,1,5510,1,5510,1,5510,1,5510,1,5511,1,5512,1,5512,1,5512,1,5512,1,5512,1,5512,1,5512,1,5512,1,5514,1,5514,1,5514,1,5514,1,5514,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6859,2,6859,2,6859,2,6859,2,6859,2,6859,2,6859,2,6860,2,6861,2,6862,2,6862,2,6862,2,6862,2,6862,2,6862,2,6862,2,6864,2,6864,2,6864,2,6864,2,6864,2,6864,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6905,3,6905,3,6905,3,6905,3,6905,3,6905,3,6906,3,6907,3,6907,3,6909,3,6909,3,6910,3,6910,3,6910,3,6910,3,6910,3,6910,3,6910,3,6910,3,6910,3,6910,3,6910,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",4284,1,4285,1,4285,1,4285,1,4285,1,4285,1,4285,1,4285,1,4286,1,4286,1,4286,1,4286,1,4286,1,4286,1,4286,1,4286,1,4286,1,4288,1,4288,1,4288,1,4288,1,4288,1
"Adolescent nutrition","health education intervention among adolescent girls","Anonymous 23844","2018-06-19","https://www.en-net.org/question/3357.aspx",6541,1,6541,1,6541,1,6541,1,6541,1,6541,1,6542,1,6544,1,6544,1,6545,1,6545,1,6546,1,6546,1,6546,1,6546,1,6546,1,6546,1,6547,1,6547,1,6547,1,6547,1,6547,1
"Adolescent nutrition","Is dietary diversity score-Women a good score for adolescents?","Anonymous 35931","2023-09-07","https://www.en-net.org/question/4933.aspx",293,1,293,1,293,1,293,1,293,1,293,1,293,1,293,1,294,1,294,1,294,1,294,1,294,1,294,1,294,1,294,1,294,1,296,1,296,1,296,1,296,1,296,1
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",5847,1,5847,1,5847,1,5847,1,5847,1,5847,1,5847,1,5848,1,5849,1,5850,1,5850,1,5850,1,5851,1,5851,1,5851,1,5851,1,5851,1,5852,1,5852,1,5852,1,5852,1,5852,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",6987,0,6987,0,6987,0,6987,0,6987,0,6987,0,6988,0,6989,0,6989,0,6990,0,6990,0,6990,0,6990,0,6990,0,6990,0,6990,0,6991,0,6991,0,6991,0,6991,0,6991,0,6991,0
"Adolescent nutrition","MUAC tape for adults and adolescents","Ikechukwu Eberendu","2018-09-27","https://www.en-net.org/question/3455.aspx",6840,1,6840,1,6840,1,6840,1,6840,1,6840,1,6840,1,6840,1,6841,1,6841,1,6843,1,6843,1,6843,1,6843,1,6843,1,6843,1,6843,1,6843,1,6843,1,6843,1,6843,1,6843,1
