"Theme","Topic","Author","Posted","Link","Views_20240620_005638","Replies_20240620_005638","Views_20240620_021007","Replies_20240620_021007","Views_20240620_024034","Replies_20240620_024034","Views_20240620_032442","Replies_20240620_032442","Views_20240620_042506","Replies_20240620_042506","Views_20240620_052326","Replies_20240620_052326","Views_20240620_062853","Replies_20240620_062853","Views_20240620_072520","Replies_20240620_072520","Views_20240620_082716","Replies_20240620_082716","Views_20240620_092651","Replies_20240620_092651","Views_20240620_102620","Replies_20240620_102620","Views_20240620_112355","Replies_20240620_112355","Views_20240620_123255","Replies_20240620_123255","Views_20240620_132544","Replies_20240620_132544","Views_20240620_142445","Replies_20240620_142445","Views_20240620_152651","Replies_20240620_152651","Views_20240620_162857","Replies_20240620_162857","Views_20240620_172403","Replies_20240620_172403","Views_20240620_182959","Replies_20240620_182959","Views_20240620_192406","Replies_20240620_192406","Views_20240620_202558","Replies_20240620_202558","Views_20240620_212422","Replies_20240620_212422"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",7460,1,7461,1,7461,1,7461,1,7461,1,7462,1,7462,1,7462,1,7462,1,7462,1,7462,1,7462,1,7462,1,7462,1,7462,1,7462,1,7462,1,7462,1,7462,1,7462,1,7462,1,7462,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",7479,1,7480,1,7480,1,7480,1,7480,1,7480,1,7480,1,7480,1,7480,1,7480,1,7480,1,7480,1,7480,1,7480,1,7480,1,7480,1,7480,1,7480,1,7480,1,7480,1,7480,1,7481,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",1509,0,1509,0,1509,0,1509,0,1510,0,1510,0,1510,0,1510,0,1510,0,1510,0,1510,0,1510,0,1510,0,1511,0,1511,0,1511,0,1511,0,1511,0,1511,0,1511,0,1511,0,1511,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",1275,1,1275,1,1275,1,1275,1,1276,1,1276,1,1276,1,1276,1,1276,1,1276,1,1276,1,1276,1,1276,1,1276,1,1277,1,1277,1,1277,1,1277,1,1277,1,1277,1,1277,1,1278,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6958,1,6958,1,6958,1,6958,1,6958,1,6959,1,6959,1,6959,1,6959,1,6959,1,6959,1,6959,1,6959,1,6959,1,6959,1,6959,1,6959,1,6959,1,6959,1,6959,1,6959,1,6959,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6980,3,6982,3,6982,3,6983,3,6983,3,6983,3,6983,3,6983,3,6983,3,6983,3,6983,3,6983,3,6983,3,6983,3,6983,3,6983,3,6983,3,6983,3,6983,3,6983,3,6983,3,6983,3
"Adolescent nutrition","Adolescent-Friendly ANC in Pakistan - RFP for Formative Research","Jen","2024-02-12","https://www.en-net.org/question/5012.aspx",403,0,404,0,404,0,404,0,404,0,404,0,404,0,404,0,404,0,404,0,404,0,404,0,404,0,404,0,404,0,404,0,404,0,404,0,404,0,404,0,404,0,404,0
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",6038,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1,6039,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",7342,2,7344,2,7344,2,7344,2,7344,2,7345,2,7345,2,7345,2,7345,2,7345,2,7345,2,7345,2,7345,2,7345,2,7345,2,7345,2,7345,2,7345,2,7345,2,7345,2,7345,2,7345,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",7349,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3,7350,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",4661,1,4661,1,4661,1,4661,1,4661,1,4661,1,4661,1,4661,1,4661,1,4661,1,4661,1,4661,1,4661,1,4662,1,4662,1,4662,1,4662,1,4662,1,4662,1,4662,1,4662,1,4662,1
