"Theme","Topic","Author","Posted","Link","Views_20211005_003737","Replies_20211005_003737","Views_20211005_020047","Replies_20211005_020047","Views_20211005_022838","Replies_20211005_022838","Views_20211005_031638","Replies_20211005_031638","Views_20211005_041650","Replies_20211005_041650","Views_20211005_051410","Replies_20211005_051410","Views_20211005_061730","Replies_20211005_061730","Views_20211005_071657","Replies_20211005_071657","Views_20211005_081827","Replies_20211005_081827","Views_20211005_091427","Replies_20211005_091427","Views_20211005_101521","Replies_20211005_101521","Views_20211005_111320","Replies_20211005_111320","Views_20211005_121928","Replies_20211005_121928","Views_20211005_132336","Replies_20211005_132336","Views_20211005_150425","Replies_20211005_150425","Views_20211005_153026","Replies_20211005_153026","Views_20211005_162108","Replies_20211005_162108","Views_20211005_172135","Replies_20211005_172135","Views_20211005_181659","Replies_20211005_181659","Views_20211005_191401","Replies_20211005_191401","Views_20211005_201550","Replies_20211005_201550","Views_20211005_211540","Replies_20211005_211540","Views_20211005_221541","Replies_20211005_221541","Views_20211005_231604","Replies_20211005_231604"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",2741,1,2742,1,2742,1,2742,1,2742,1,2742,1,2742,1,2742,1,2742,1,2742,1,2742,1,2742,1,2742,1,2742,1,2743,1,2743,1,2743,1,2743,1,2743,1,2743,1,2743,1,2743,1,2743,1,2743,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",2928,1,2929,1,2929,1,2929,1,2929,1,2929,1,2929,1,2929,1,2929,1,2929,1,2929,1,2930,1,2930,1,2930,1,2931,1,2931,1,2931,1,2932,1,2932,1,2932,1,2932,1,2932,1,2932,1,2932,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",2495,1,2496,1,2496,1,2496,1,2496,1,2496,1,2496,1,2496,1,2496,1,2496,1,2496,1,2497,1,2497,1,2497,1,2498,1,2498,1,2498,1,2498,1,2498,1,2498,1,2498,1,2498,1,2498,1,2498,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin Walters","2018-08-01","https://www.en-net.org/question/3403.aspx",2571,3,2572,3,2572,3,2572,3,2572,3,2572,3,2572,3,2572,3,2572,3,2572,3,2572,3,2573,3,2573,3,2573,3,2575,3,2575,3,2575,3,2575,3,2576,3,2576,3,2576,3,2576,3,2577,3,2577,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",1401,1,1402,1,1402,1,1402,1,1402,1,1402,1,1402,1,1402,1,1402,1,1402,1,1402,1,1403,1,1404,1,1404,1,1405,1,1405,1,1405,1,1405,1,1405,1,1406,1,1406,1,1406,1,1406,1,1406,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",2697,2,2698,2,2698,2,2698,2,2699,2,2699,2,2699,2,2699,2,2699,2,2699,2,2699,2,2700,2,2700,2,2700,2,2701,2,2701,2,2701,2,2701,2,2701,2,2701,2,2701,2,2701,2,2701,2,2701,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",2760,3,2761,3,2761,3,2761,3,2761,3,2761,3,2761,3,2761,3,2761,3,2761,3,2761,3,2761,3,2761,3,2761,3,2762,3,2762,3,2762,3,2763,3,2763,3,2763,3,2763,3,2763,3,2763,3,2765,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",205,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,207,1,207,1,207,1,207,1,207,1,208,1,208,1,208,1,208,1,208,1
"Adolescent nutrition","health education intervention among adolescent girls","Anonymous 23844","2018-06-19","https://www.en-net.org/question/3357.aspx",2378,1,2379,1,2379,1,2379,1,2379,1,2379,1,2379,1,2379,1,2379,1,2379,1,2379,1,2379,1,2379,1,2379,1,2380,1,2380,1,2380,1,2380,1,2380,1,2380,1,2380,1,2380,1,2381,1,2381,1
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",1695,1,1696,1,1696,1,1696,1,1696,1,1696,1,1696,1,1696,1,1696,1,1696,1,1696,1,1696,1,1696,1,1696,1,1697,1,1697,1,1697,1,1697,1,1697,1,1697,1,1697,1,1698,1,1698,1,1698,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",2758,0,2759,0,2759,0,2759,0,2759,0,2759,0,2759,0,2759,0,2759,0,2759,0,2759,0,2759,0,2759,0,2759,0,2760,0,2760,0,2760,0,2760,0,2761,0,2761,0,2761,0,2761,0,2761,0,2761,0
"Adolescent nutrition","MUAC tape for adults and adolescents","Anonymous 8821","2018-09-27","https://www.en-net.org/question/3455.aspx",2601,1,2602,1,2602,1,2602,1,2602,1,2602,1,2602,1,2602,1,2602,1,2602,1,2602,1,2602,1,2602,1,2602,1,2603,1,2603,1,2603,1,2603,1,2603,1,2603,1,2603,1,2603,1,2603,1,2603,1
"Adolescent nutrition","Question arising from the ENN webinar:","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4226.aspx",560,1,561,1,561,1,561,1,561,1,561,1,561,1,561,1,561,1,561,1,562,1,563,1,563,1,563,1,564,1,564,1,564,1,564,1,564,1,564,1,564,1,564,1,564,1,564,1
"Adolescent nutrition","Reaching out of school adolescents","Emily Mates","2018-06-18","https://www.en-net.org/question/3355.aspx",3167,3,3168,3,3168,3,3168,3,3168,3,3168,3,3168,3,3168,3,3168,3,3168,3,3168,3,3168,3,3168,3,3168,3,3169,3,3169,3,3169,3,3169,3,3170,3,3170,3,3171,3,3171,3,3171,3,3171,3
"Adolescent nutrition","Research prioritisation exercise for nutrition of school-aged children and adolescents using the CHNRI methodology.","Tamsin Walters","2021-07-20","https://www.en-net.org/question/4358.aspx",656,0,658,0,658,0,658,0,658,0,658,0,658,0,658,0,658,0,658,0,658,0,658,0,658,0,658,0,660,0,660,0,660,0,660,0,660,0,661,0,661,0,661,0,661,0,661,0
"Adolescent nutrition","Teen/adolescent pregnancy and under-nutrition","Anne Holmes","2018-06-19","https://www.en-net.org/question/3358.aspx",2766,1,2767,1,2767,1,2767,1,2767,1,2767,1,2767,1,2767,1,2767,1,2767,1,2768,1,2768,1,2768,1,2768,1,2769,1,2769,1,2769,1,2769,1,2769,1,2769,1,2769,1,2769,1,2769,1,2769,1
"Adolescent nutrition","The Effect of Unplanned Pregnancy among Women Collage in Wadajir Distract Moqdisho Somalia","Mohamed Hassan Mohamed [ta'shir]","2021-02-01","https://www.en-net.org/question/4190.aspx",679,0,680,0,680,0,680,0,680,0,680,0,680,0,680,0,680,0,680,0,680,0,680,0,680,0,680,0,681,0,681,0,681,0,681,0,681,0,682,0,682,0,682,0,682,0,682,0
"Adolescent nutrition","Webinar question: 'enabling environments' for adolescent health and nutrition","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4227.aspx",706,2,707,2,707,2,707,2,707,2,707,2,707,2,707,2,707,2,707,2,707,2,707,2,709,2,709,2,710,2,710,2,710,2,710,2,710,2,711,2,711,2,711,2,711,2,711,2
"Adolescent nutrition","Webinar question: Are there guidelines for the use of food and nutrition in prevention and management of NCDs in adolescence in the context of school and at home?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4230.aspx",868,1,869,1,869,1,869,1,869,1,869,1,869,1,869,1,869,1,869,1,870,1,870,1,870,1,870,1,871,1,871,1,871,1,871,1,871,1,872,1,872,1,872,1,872,1,872,1
"Adolescent nutrition","Webinar question: can anyone share guidance to measure the dietary diversity for adolescents ?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4238.aspx",494,0,495,0,495,0,495,0,495,0,495,0,495,0,495,0,495,0,495,0,496,0,496,0,496,0,496,0,497,0,497,0,497,0,498,0,498,0,498,0,499,0,499,0,499,0,499,0
