"Theme","Topic","Author","Posted","Link","Views_20231028_004612","Replies_20231028_004612","Views_20231028_015004","Replies_20231028_015004","Views_20231028_022157","Replies_20231028_022157","Views_20231028_031837","Replies_20231028_031837","Views_20231028_042002","Replies_20231028_042002","Views_20231028_051546","Replies_20231028_051546","Views_20231028_062041","Replies_20231028_062041","Views_20231028_071839","Replies_20231028_071839","Views_20231028_081754","Replies_20231028_081754","Views_20231028_091529","Replies_20231028_091529","Views_20231028_101744","Replies_20231028_101744","Views_20231028_111701","Replies_20231028_111701","Views_20231028_122132","Replies_20231028_122132","Views_20231028_131811","Replies_20231028_131811","Views_20231028_141735","Replies_20231028_141735","Views_20231028_151742","Replies_20231028_151742","Views_20231028_161946","Replies_20231028_161946","Views_20231028_171512","Replies_20231028_171512"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",7015,1,7015,1,7015,1,7015,1,7015,1,7016,1,7016,1,7016,1,7016,1,7016,1,7016,1,7016,1,7016,1,7016,1,7016,1,7016,1,7019,1,7019,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7063,1,7063,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",1090,0,1090,0,1090,0,1090,0,1090,0,1090,0,1090,0,1090,0,1090,0,1090,0,1090,0,1090,0,1090,0,1090,0,1090,0,1090,0,1092,0,1093,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",858,1,858,1,858,1,858,1,858,1,858,1,858,1,858,1,858,1,858,1,858,1,858,1,858,1,858,1,858,1,858,1,860,1,861,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6560,1,6560,1,6560,1,6560,1,6560,1,6560,1,6560,1,6560,1,6560,1,6560,1,6560,1,6560,1,6561,1,6561,1,6561,1,6561,1,6564,1,6564,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6575,3,6575,3,6575,3,6575,3,6575,3,6575,3,6575,3,6575,3,6575,3,6575,3,6575,3,6575,3,6575,3,6575,3,6575,3,6575,3,6577,3,6577,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",5472,1,5472,1,5472,1,5473,1,5473,1,5473,1,5473,1,5473,1,5473,1,5473,1,5473,1,5473,1,5473,1,5473,1,5473,1,5473,1,5475,1,5475,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6817,2,6817,2,6817,2,6817,2,6817,2,6817,2,6817,2,6817,2,6817,2,6817,2,6817,2,6817,2,6817,2,6817,2,6817,2,6817,2,6820,2,6820,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6861,3,6861,3,6861,3,6861,3,6861,3,6861,3,6861,3,6861,3,6861,3,6861,3,6861,3,6861,3,6862,3,6862,3,6862,3,6862,3,6863,3,6864,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",4247,1,4247,1,4247,1,4247,1,4247,1,4247,1,4247,1,4247,1,4247,1,4247,1,4249,1,4249,1,4249,1,4249,1,4249,1,4249,1,4251,1,4252,1
"Adolescent nutrition","health education intervention among adolescent girls","Anonymous 23844","2018-06-19","https://www.en-net.org/question/3357.aspx",6490,1,6490,1,6490,1,6490,1,6490,1,6490,1,6490,1,6490,1,6490,1,6490,1,6490,1,6490,1,6490,1,6490,1,6490,1,6490,1,6492,1,6492,1
"Adolescent nutrition","Is dietary diversity score-Women a good score for adolescents?","Anonymous 35931","2023-09-07","https://www.en-net.org/question/4933.aspx",253,1,254,1,254,1,254,1,254,1,254,1,254,1,254,1,254,1,254,1,254,1,254,1,254,1,254,1,254,1,254,1,254,1,254,1
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",5780,1,5780,1,5780,1,5780,1,5780,1,5780,1,5780,1,5780,1,5780,1,5780,1,5780,1,5780,1,5780,1,5780,1,5780,1,5780,1,5782,1,5782,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",6942,0,6942,0,6942,0,6942,0,6942,0,6942,0,6942,0,6942,0,6942,0,6942,0,6942,0,6942,0,6942,0,6942,0,6942,0,6942,0,6945,0,6945,0
"Adolescent nutrition","MUAC tape for adults and adolescents","Ikechukwu Eberendu","2018-09-27","https://www.en-net.org/question/3455.aspx",6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6794,1,6794,1
"Adolescent nutrition","Question arising from the ENN webinar:","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4226.aspx",4425,1,4425,1,4425,1,4425,1,4425,1,4425,1,4425,1,4425,1,4425,1,4425,1,4425,1,4425,1,4425,1,4425,1,4425,1,4425,1,4427,1,4427,1
"Adolescent nutrition","Reaching out of school adolescents","Emily Mates","2018-06-18","https://www.en-net.org/question/3355.aspx",7376,3,7376,3,7376,3,7376,3,7376,3,7376,3,7376,3,7376,3,7376,3,7376,3,7376,3,7376,3,7376,3,7376,3,7376,3,7376,3,7378,3,7378,3
"Adolescent nutrition","Research prioritisation exercise for nutrition of school-aged children and adolescents using the CHNRI methodology.","Tamsin","2021-07-20","https://www.en-net.org/question/4358.aspx",4793,0,4793,0,4793,0,4793,0,4793,0,4793,0,4793,0,4793,0,4793,0,4793,0,4793,0,4793,0,4793,0,4793,0,4793,0,4793,0,4795,0,4796,0
"Adolescent nutrition","Stages of adolescence","Anonymous 35931","2023-02-08","https://www.en-net.org/question/4779.aspx",613,1,613,1,613,1,613,1,613,1,613,1,613,1,613,1,613,1,613,1,613,1,613,1,613,1,613,1,613,1,613,1,615,1,615,1
"Adolescent nutrition","Teen/adolescent pregnancy and under-nutrition","Anne Holmes","2018-06-19","https://www.en-net.org/question/3358.aspx",6955,1,6955,1,6955,1,6955,1,6955,1,6955,1,6955,1,6955,1,6955,1,6955,1,6955,1,6955,1,6955,1,6955,1,6955,1,6955,1,6957,1,6958,1
"Adolescent nutrition","The Effect of Unplanned Pregnancy among Women Collage in Wadajir Distract Moqdisho Somalia","Mohamed Hassan Mohamed","2021-02-01","https://www.en-net.org/question/4190.aspx",4626,0,4626,0,4626,0,4626,0,4626,0,4626,0,4626,0,4626,0,4626,0,4626,0,4626,0,4626,0,4626,0,4626,0,4626,0,4626,0,4628,0,4628,0
"Adolescent nutrition","Webinar question: 'enabling environments' for adolescent health and nutrition","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4227.aspx",4683,2,4683,2,4683,2,4683,2,4683,2,4683,2,4683,2,4683,2,4683,2,4683,2,4683,2,4683,2,4683,2,4683,2,4683,2,4683,2,4685,2,4685,2
