"Theme","Topic","Author","Posted","Link","Views_20230827_004625","Replies_20230827_004625","Views_20230827_015227","Replies_20230827_015227","Views_20230827_022400","Replies_20230827_022400","Views_20230827_031719","Replies_20230827_031719","Views_20230827_041756","Replies_20230827_041756","Views_20230827_051542","Replies_20230827_051542","Views_20230827_061837","Replies_20230827_061837","Views_20230827_071615","Replies_20230827_071615","Views_20230827_081812","Replies_20230827_081812","Views_20230827_091558","Replies_20230827_091558","Views_20230827_101641","Replies_20230827_101641","Views_20230827_111507","Replies_20230827_111507","Views_20230827_122142","Replies_20230827_122142","Views_20230827_131652","Replies_20230827_131652","Views_20230827_141530","Replies_20230827_141530","Views_20230827_151549","Replies_20230827_151549","Views_20230827_161814","Replies_20230827_161814","Views_20230827_171540","Replies_20230827_171540"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",6898,1,6898,1,6898,1,6898,1,6898,1,6898,1,6898,1,6898,1,6898,1,6898,1,6898,1,6898,1,6898,1,6898,1,6898,1,6899,1,6901,1,6901,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",6937,1,6937,1,6937,1,6937,1,6937,1,6937,1,6937,1,6937,1,6937,1,6937,1,6937,1,6937,1,6937,1,6937,1,6937,1,6937,1,6937,1,6937,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",963,0,963,0,963,0,963,0,963,0,963,0,963,0,963,0,963,0,963,0,964,0,964,0,964,0,964,0,964,0,965,0,965,0,965,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",731,1,731,1,731,1,731,1,732,1,732,1,732,1,732,1,732,1,733,1,733,1,733,1,733,1,733,1,733,1,733,1,733,1,734,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6433,1,6433,1,6433,1,6433,1,6433,1,6433,1,6433,1,6433,1,6433,1,6433,1,6434,1,6434,1,6434,1,6434,1,6434,1,6434,1,6434,1,6434,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6466,3,6467,3,6467,3,6467,3,6467,3,6467,3,6467,3,6467,3,6467,3,6467,3,6467,3,6467,3,6467,3,6467,3,6467,3,6467,3,6467,3,6467,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",5356,1,5356,1,5356,1,5356,1,5357,1,5357,1,5357,1,5357,1,5357,1,5357,1,5357,1,5358,1,5358,1,5358,1,5358,1,5358,1,5358,1,5358,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6703,2,6704,2,6704,2,6704,2,6704,2,6704,2,6704,2,6704,2,6704,2,6704,2,6704,2,6704,2,6704,2,6704,2,6704,2,6704,2,6704,2,6704,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6739,3,6739,3,6739,3,6739,3,6739,3,6739,3,6739,3,6739,3,6739,3,6739,3,6739,3,6739,3,6739,3,6739,3,6739,3,6739,3,6739,3,6739,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",4125,1,4125,1,4126,1,4127,1,4127,1,4127,1,4127,1,4127,1,4127,1,4127,1,4128,1,4128,1,4130,1,4130,1,4130,1,4130,1,4130,1,4131,1
"Adolescent nutrition","health education intervention among adolescent girls","Anonymous 23844","2018-06-19","https://www.en-net.org/question/3357.aspx",6376,1,6376,1,6376,1,6376,1,6376,1,6376,1,6376,1,6376,1,6376,1,6376,1,6376,1,6376,1,6376,1,6376,1,6376,1,6376,1,6376,1,6377,1
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",5656,1,5656,1,5656,1,5657,1,5657,1,5657,1,5657,1,5657,1,5657,1,5657,1,5657,1,5657,1,5657,1,5658,1,5658,1,5658,1,5659,1,5659,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",6826,0,6826,0,6826,0,6826,0,6826,0,6826,0,6826,0,6826,0,6826,0,6827,0,6827,0,6827,0,6827,0,6827,0,6827,0,6827,0,6827,0,6827,0
"Adolescent nutrition","MUAC tape for adults and adolescents","Ikechukwu Eberendu","2018-09-27","https://www.en-net.org/question/3455.aspx",6671,1,6671,1,6671,1,6671,1,6671,1,6671,1,6671,1,6671,1,6671,1,6671,1,6671,1,6671,1,6671,1,6672,1,6672,1,6672,1,6672,1,6672,1
"Adolescent nutrition","Question arising from the ENN webinar:","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4226.aspx",4321,1,4321,1,4321,1,4322,1,4322,1,4323,1,4323,1,4323,1,4323,1,4323,1,4323,1,4323,1,4323,1,4323,1,4323,1,4323,1,4323,1,4324,1
"Adolescent nutrition","Reaching out of school adolescents","Emily Mates","2018-06-18","https://www.en-net.org/question/3355.aspx",7236,3,7236,3,7236,3,7237,3,7237,3,7237,3,7237,3,7237,3,7237,3,7237,3,7237,3,7237,3,7237,3,7237,3,7237,3,7237,3,7237,3,7237,3
"Adolescent nutrition","Research prioritisation exercise for nutrition of school-aged children and adolescents using the CHNRI methodology.","Tamsin","2021-07-20","https://www.en-net.org/question/4358.aspx",4665,0,4666,0,4666,0,4666,0,4666,0,4666,0,4666,0,4668,0,4668,0,4669,0,4669,0,4669,0,4669,0,4669,0,4669,0,4669,0,4670,0,4670,0
"Adolescent nutrition","Stages of adolescence","Anonymous 35931","2023-02-08","https://www.en-net.org/question/4779.aspx",494,1,494,1,494,1,494,1,494,1,494,1,494,1,494,1,495,1,495,1,495,1,495,1,495,1,495,1,495,1,495,1,495,1,495,1
"Adolescent nutrition","Teen/adolescent pregnancy and under-nutrition","Anne Holmes","2018-06-19","https://www.en-net.org/question/3358.aspx",6822,1,6822,1,6822,1,6822,1,6822,1,6822,1,6822,1,6822,1,6822,1,6822,1,6822,1,6823,1,6823,1,6823,1,6823,1,6823,1,6823,1,6823,1
"Adolescent nutrition","The Effect of Unplanned Pregnancy among Women Collage in Wadajir Distract Moqdisho Somalia","Mohamed Hassan Mohamed","2021-02-01","https://www.en-net.org/question/4190.aspx",4523,0,4523,0,4523,0,4523,0,4524,0,4524,0,4524,0,4524,0,4524,0,4524,0,4524,0,4524,0,4524,0,4524,0,4524,0,4524,0,4524,0,4524,0
"Adolescent nutrition","Webinar question: 'enabling environments' for adolescent health and nutrition","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4227.aspx",4574,2,4574,2,4574,2,4574,2,4574,2,4574,2,4574,2,4574,2,4574,2,4575,2,4575,2,4577,2,4578,2,4579,2,4579,2,4579,2,4579,2,4579,2
"Adolescent nutrition","Webinar question: Are there guidelines for the use of food and nutrition in prevention and management of NCDs in adolescence in the context of school and at home?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4230.aspx",4706,1,4706,1,4706,1,4706,1,4706,1,4706,1,4707,1,4707,1,4707,1,4707,1,4707,1,4709,1,4709,1,4709,1,4709,1,4709,1,4710,1,4710,1
"Adolescent nutrition","Webinar question: can anyone share guidance to measure the dietary diversity for adolescents ?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4238.aspx",4281,0,4281,0,4281,0,4281,0,4283,0,4283,0,4283,0,4283,0,4284,0,4284,0,4284,0,4284,0,4284,0,4284,0,4284,0,4284,0,4285,0,4285,0
"Adolescent nutrition","Webinar question: Can you comment on how participatory activities for designing adolescent nutrition solutions can consider the gender and religious influences on adolescent nutrition ?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4255.aspx",5196,5,5196,5,5196,5,5196,5,5196,5,5196,5,5196,5,5196,5,5196,5,5196,5,5197,5,5197,5,5198,5,5199,5,5199,5,5199,5,5199,5,5199,5
"Adolescent nutrition","Webinar question: Could the appeal for using social media for improving nutrition knowledge and practices be different in urban areas vs. rural areas?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4254.aspx",4422,0,4422,0,4422,0,4422,0,4422,0,4423,0,4423,0,4423,0,4423,0,4423,0,4423,0,4423,0,4423,0,4423,0,4423,0,4424,0,4424,0,4424,0
"Adolescent nutrition","Webinar question: Given that our school curricular are loaded already, how best can nutrition education be dispensed in schools? What best practice evidence is there?","Stephanie Wrottesley","2021-03-11","https://www.en-net.org/question/4244.aspx",5684,7,5684,7,5684,7,5684,7,5685,7,5685,7,5685,7,5685,7,5685,7,5686,7,5686,7,5686,7,5686,7,5686,7,5686,7,5687,7,5687,7,5687,7
"Adolescent nutrition","Webinar question: How can an ethnographic, participatory approach to adolescent intervention be scaleable?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4253.aspx",4560,1,4561,1,4561,1,4562,1,4563,1,4563,1,4563,1,4563,1,4563,1,4563,1,4563,1,4563,1,4564,1,4564,1,4564,1,4564,1,4564,1,4565,1
