"Theme","Topic","Author","Posted","Link","Views_20230925_004640","Replies_20230925_004640","Views_20230925_015217","Replies_20230925_015217","Views_20230925_022549","Replies_20230925_022549","Views_20230925_031751","Replies_20230925_031751","Views_20230925_041946","Replies_20230925_041946","Views_20230925_051810","Replies_20230925_051810","Views_20230925_062108","Replies_20230925_062108","Views_20230925_071756","Replies_20230925_071756","Views_20230925_082126","Replies_20230925_082126","Views_20230925_091835","Replies_20230925_091835","Views_20230925_101906","Replies_20230925_101906","Views_20230925_111658","Replies_20230925_111658","Views_20230925_122512","Replies_20230925_122512","Views_20230925_132109","Replies_20230925_132109","Views_20230925_141749","Replies_20230925_141749","Views_20230925_151814","Replies_20230925_151814","Views_20230925_162013","Replies_20230925_162013","Views_20230925_171721","Replies_20230925_171721","Views_20230925_182044","Replies_20230925_182044","Views_20230925_191634","Replies_20230925_191634","Views_20230925_201817","Replies_20230925_201817","Views_20230925_211659","Replies_20230925_211659","Views_20230925_221631","Replies_20230925_221631","Views_20230925_231731","Replies_20230925_231731"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",6948,1,6948,1,6948,1,6948,1,6948,1,6948,1,6948,1,6948,1,6948,1,6948,1,6948,1,6948,1,6949,1,6949,1,6949,1,6949,1,6949,1,6949,1,6949,1,6953,1,6953,1,6954,1,6954,1,6954,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",6994,1,6994,1,6994,1,6994,1,6994,1,6994,1,6994,1,6994,1,6994,1,6994,1,6994,1,6994,1,6995,1,6995,1,6995,1,6995,1,6995,1,6995,1,6995,1,6998,1,6998,1,6999,1,6999,1,6999,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",1029,0,1029,0,1029,0,1029,0,1029,0,1029,0,1029,0,1029,0,1029,0,1029,0,1029,0,1029,0,1029,0,1029,0,1029,0,1029,0,1029,0,1029,0,1031,0,1032,0,1032,0,1032,0,1032,0,1032,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",801,1,801,1,801,1,801,1,801,1,801,1,801,1,801,1,801,1,801,1,801,1,801,1,801,1,801,1,801,1,801,1,801,1,801,1,801,1,804,1,805,1,805,1,806,1,806,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6493,1,6493,1,6493,1,6493,1,6493,1,6493,1,6493,1,6493,1,6493,1,6493,1,6493,1,6493,1,6494,1,6494,1,6494,1,6494,1,6494,1,6494,1,6496,1,6497,1,6497,1,6498,1,6498,1,6498,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6519,3,6520,3,6520,3,6520,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",5413,1,5413,1,5413,1,5413,1,5413,1,5413,1,5413,1,5413,1,5413,1,5413,1,5413,1,5413,1,5414,1,5414,1,5414,1,5414,1,5414,1,5414,1,5414,1,5417,1,5417,1,5417,1,5417,1,5417,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6754,2,6754,2,6754,2,6754,2,6754,2,6754,2,6754,2,6754,2,6754,2,6754,2,6754,2,6754,2,6755,2,6755,2,6755,2,6755,2,6755,2,6755,2,6757,2,6758,2,6758,2,6759,2,6759,2,6759,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6799,3,6799,3,6799,3,6799,3,6799,3,6799,3,6799,3,6799,3,6799,3,6799,3,6799,3,6799,3,6799,3,6799,3,6799,3,6799,3,6799,3,6799,3,6799,3,6802,3,6802,3,6803,3,6803,3,6803,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",4197,1,4197,1,4197,1,4197,1,4197,1,4197,1,4197,1,4197,1,4197,1,4197,1,4197,1,4197,1,4197,1,4197,1,4197,1,4197,1,4197,1,4197,1,4197,1,4200,1,4200,1,4200,1,4200,1,4200,1
