"Theme","Topic","Author","Posted","Link","Views_20231211_005114","Replies_20231211_005114","Views_20231211_020231","Replies_20231211_020231","Views_20231211_023502","Replies_20231211_023502","Views_20231211_031948","Replies_20231211_031948","Views_20231211_042201","Replies_20231211_042201","Views_20231211_051739","Replies_20231211_051739","Views_20231211_062054","Replies_20231211_062054","Views_20231211_071854","Replies_20231211_071854","Views_20231211_082123","Replies_20231211_082123","Views_20231211_092100","Replies_20231211_092100","Views_20231211_102110","Replies_20231211_102110","Views_20231211_111653","Replies_20231211_111653","Views_20231211_122519","Replies_20231211_122519"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",7123,1,7123,1,7123,1,7123,1,7124,1,7124,1,7124,1,7125,1,7125,1,7125,1,7125,1,7125,1,7125,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",7158,1,7158,1,7158,1,7158,1,7159,1,7159,1,7159,1,7160,1,7160,1,7160,1,7160,1,7160,1,7160,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",1210,0,1210,0,1210,0,1210,0,1211,0,1211,0,1212,0,1213,0,1213,0,1213,0,1213,0,1213,0,1213,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",965,1,965,1,965,1,965,1,966,1,966,1,967,1,968,1,968,1,970,1,971,1,971,1,971,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6665,1,6665,1,6665,1,6665,1,6666,1,6666,1,6666,1,6667,1,6667,1,6668,1,6668,1,6668,1,6668,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6679,3,6679,3,6679,3,6679,3,6680,3,6680,3,6681,3,6683,3,6683,3,6683,3,6683,3,6683,3,6683,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",5587,1,5587,1,5587,1,5587,1,5588,1,5588,1,5588,1,5589,1,5589,1,5589,1,5589,1,5589,1,5589,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6945,2,6945,2,6945,2,6945,2,6946,2,6946,2,6946,2,6947,2,6947,2,6947,2,6947,2,6947,2,6948,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6977,3,6977,3,6978,3,6978,3,6979,3,6979,3,6979,3,6980,3,6980,3,6980,3,6981,3,6981,3,6981,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",4347,1,4347,1,4347,1,4347,1,4348,1,4348,1,4348,1,4349,1,4349,1,4349,1,4349,1,4349,1,4351,1
"Adolescent nutrition","health education intervention among adolescent girls","Anonymous 23844","2018-06-19","https://www.en-net.org/question/3357.aspx",6613,1,6613,1,6613,1,6613,1,6614,1,6614,1,6614,1,6617,1,6617,1,6619,1,6619,1,6620,1,6622,1
"Adolescent nutrition","Is dietary diversity score-Women a good score for adolescents?","Anonymous 35931","2023-09-07","https://www.en-net.org/question/4933.aspx",367,1,367,1,367,1,368,1,369,1,369,1,369,1,370,1,370,1,371,1,371,1,371,1,372,1
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",5918,1,5918,1,5918,1,5918,1,5919,1,5919,1,5919,1,5920,1,5920,1,5921,1,5921,1,5922,1,5922,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",7051,0,7051,0,7051,0,7051,0,7052,0,7052,0,7052,0,7053,0,7053,0,7053,0,7053,0,7053,0,7053,0
"Adolescent nutrition","MUAC tape for adults and adolescents","Ikechukwu Eberendu","2018-09-27","https://www.en-net.org/question/3455.aspx",6905,1,6905,1,6905,1,6905,1,6906,1,6906,1,6906,1,6907,1,6907,1,6907,1,6907,1,6907,1,6907,1
"Adolescent nutrition","Question arising from the ENN webinar:","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4226.aspx",4531,1,4531,1,4531,1,4531,1,4533,1,4533,1,4533,1,4534,1,4534,1,4534,1,4534,1,4534,1,4534,1
"Adolescent nutrition","Reaching out of school adolescents","Emily Mates","2018-06-18","https://www.en-net.org/question/3355.aspx",7513,3,7513,3,7513,3,7513,3,7514,3,7514,3,7514,3,7515,3,7515,3,7515,3,7515,3,7516,3,7516,3
"Adolescent nutrition","Research prioritisation exercise for nutrition of school-aged children and adolescents using the CHNRI methodology.","Tamsin","2021-07-20","https://www.en-net.org/question/4358.aspx",4896,0,4896,0,4896,0,4896,0,4897,0,4897,0,4897,0,4898,0,4898,0,4898,0,4898,0,4898,0,4898,0
"Adolescent nutrition","Stages of adolescence","Anonymous 35931","2023-02-08","https://www.en-net.org/question/4779.aspx",740,1,740,1,740,1,741,1,742,1,742,1,742,1,743,1,743,1,743,1,743,1,743,1,743,1
"Adolescent nutrition","Teen/adolescent pregnancy and under-nutrition","Anne Holmes","2018-06-19","https://www.en-net.org/question/3358.aspx",7063,1,7063,1,7063,1,7063,1,7064,1,7064,1,7064,1,7067,1,7067,1,7069,1,7069,1,7070,1,7070,1
"Adolescent nutrition","The Effect of Unplanned Pregnancy among Women Collage in Wadajir Distract Moqdisho Somalia","Mohamed Hassan Mohamed","2021-02-01","https://www.en-net.org/question/4190.aspx",4738,0,4738,0,4738,0,4738,0,4739,0,4739,0,4739,0,4741,0,4741,0,4741,0,4741,0,4741,0,4741,0
"Adolescent nutrition","Webinar question: 'enabling environments' for adolescent health and nutrition","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4227.aspx",4799,2,4799,2,4799,2,4799,2,4800,2,4800,2,4800,2,4801,2,4801,2,4801,2,4801,2,4801,2,4801,2
"Adolescent nutrition","Webinar question: Are there guidelines for the use of food and nutrition in prevention and management of NCDs in adolescence in the context of school and at home?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4230.aspx",4916,1,4916,1,4916,1,4916,1,4917,1,4917,1,4917,1,4918,1,4918,1,4918,1,4918,1,4918,1,4918,1
"Adolescent nutrition","Webinar question: can anyone share guidance to measure the dietary diversity for adolescents ?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4238.aspx",4500,0,4500,0,4500,0,4500,0,4501,0,4501,0,4501,0,4502,0,4502,0,4502,0,4502,0,4502,0,4502,0
"Adolescent nutrition","Webinar question: Can you comment on how participatory activities for designing adolescent nutrition solutions can consider the gender and religious influences on adolescent nutrition ?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4255.aspx",5415,5,5415,5,5415,5,5415,5,5416,5,5416,5,5416,5,5417,5,5417,5,5417,5,5417,5,5417,5,5417,5
"Adolescent nutrition","Webinar question: Could the appeal for using social media for improving nutrition knowledge and practices be different in urban areas vs. rural areas?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4254.aspx",4651,0,4651,0,4651,0,4651,0,4652,0,4652,0,4653,0,4654,0,4654,0,4654,0,4654,0,4654,0,4654,0
"Adolescent nutrition","Webinar question: Given that our school curricular are loaded already, how best can nutrition education be dispensed in schools? What best practice evidence is there?","Stephanie Wrottesley","2021-03-11","https://www.en-net.org/question/4244.aspx",5911,7,5911,7,5911,7,5911,7,5912,7,5912,7,5912,7,5913,7,5913,7,5913,7,5913,7,5913,7,5913,7
"Adolescent nutrition","Webinar question: How can an ethnographic, participatory approach to adolescent intervention be scaleable?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4253.aspx",4790,1,4790,1,4790,1,4790,1,4791,1,4791,1,4791,1,4792,1,4792,1,4792,1,4792,1,4792,1,4794,1
"Adolescent nutrition","Webinar question: I would be interested to know about any work or insights into eating disorders amongst adolescents in LMICs?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4234.aspx",4448,0,4448,0,4448,0,4448,0,4449,0,4449,0,4449,0,4450,0,4450,0,4450,0,4450,0,4450,0,4450,0
"Adolescent nutrition","Webinar question: Is there any attempt to use MUAC for adolescent?","NATASHA LELIJVELD","2021-03-02","https://www.en-net.org/question/4219.aspx",4900,1,4900,1,4900,1,4900,1,4901,1,4901,1,4901,1,4902,1,4902,1,4902,1,4902,1,4902,1,4902,1
"Adolescent nutrition","Webinar question: Is there information, or any studies, on nutrition status among adolescents living with HIV?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4233.aspx",4456,0,4456,0,4456,0,4456,0,4457,0,4457,0,4457,0,4458,0,4458,0,4458,0,4458,0,4458,0,4458,0
"Adolescent nutrition","Webinar question: What major interventions should we focus on to improve adolescent nutrition?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4239.aspx",4873,1,4873,1,4873,1,4873,1,4874,1,4874,1,4874,1,4875,1,4875,1,4875,1,4875,1,4875,1,4875,1
