"Theme","Topic","Views","Author","Posted","Link","Replies"
"Announcements & Nutritionists needed","Nutrition Expert, Juba/ South Sudan, with Welthungerhilfe (WHH)",266,"Gudrun Stallkamp",2023-05-19,"https://www.en-net.org/question/4871.aspx",NA
"Announcements & Nutritionists needed","UNICEF P3 TA Nutrition Specialist - Ukraine",237,"Jodine Chase",2023-05-18,"https://www.en-net.org/question/4870.aspx",NA
"Announcements & Nutritionists needed","IFE Core Group Coordinator",233,"Laura Delfino",2023-05-12,"https://www.en-net.org/question/4867.aspx",NA
"Announcements & Nutritionists needed","Nutrition Technical Advisor vacancy",269,"Anonymous 43702",2023-05-12,"https://www.en-net.org/question/4866.aspx",NA
"Announcements & Nutritionists needed","Programme manager",313,"Sophie Goudet",2023-05-10,"https://www.en-net.org/question/4863.aspx",NA
"Announcements & Nutritionists needed","Senior researcher",255,"Sophie Goudet",2023-05-10,"https://www.en-net.org/question/4862.aspx",NA
"Announcements & Nutritionists needed","Nutrition Consultant (Nigerian)",296,"Hanifa Namusoke",2023-05-02,"https://www.en-net.org/question/4859.aspx",NA
"Announcements & Nutritionists needed","!URGENT! Seeking Delivery Advisor / Consultant (Yemen) - Scaling Treatment of Acute Malnutrition",426,"Amy Passaro",2023-04-12,"https://www.en-net.org/question/4850.aspx",NA
"Announcements & Nutritionists needed","!URGENT! Seeking Delivery Advisor / Consultant (Sudan) - Scaling Treatment of Acute Malnutrition",294,"Amy Passaro",2023-04-12,"https://www.en-net.org/question/4849.aspx",NA
"Announcements & Nutritionists needed","!URGENT! Seeking Delivery Advisor / Consultant (Nigeria) - Scaling Treatment of Acute Malnutrition",370,"Amy Passaro",2023-04-12,"https://www.en-net.org/question/4848.aspx",NA
"Announcements & Nutritionists needed","CALL for ABSTRACT – Action contre la Faim International scientific conference Research for Nutrition #R4NUT 2023",453,"Laura Delfino",2023-04-06,"https://www.en-net.org/question/4845.aspx",NA
"Announcements & Nutritionists needed","Recruitment of a Health and Nutrition Head of Department",481,"Anonymous 42372",2023-04-03,"https://www.en-net.org/question/4841.aspx",NA
"Announcements & Nutritionists needed","WFP Nutrition Digital Innovation Team Lead Vacancy",343,"Anonymous 42370",2023-04-03,"https://www.en-net.org/question/4840.aspx",NA
"Announcements & Nutritionists needed","MAMI consultancy  UNICEF ESARO",377,"Eilise Brennan",2023-03-24,"https://www.en-net.org/question/4837.aspx",NA
"Announcements & Nutritionists needed","Research Intern in Nutrition and Public Health",487,"CAB",2023-03-21,"https://www.en-net.org/question/4830.aspx",NA
"Announcements & Nutritionists needed","VACANCY - Senior Nutrition & Food Security Advisor Embassy of Ireland, Liberia",357,"Eilise Brennan",2023-03-16,"https://www.en-net.org/question/4826.aspx",NA
"Announcements & Nutritionists needed","Job Opportunity: Global IYCFE advisor",540,"Andrew Beckingham",2023-03-13,"https://www.en-net.org/question/4823.aspx",NA
"Announcements & Nutritionists needed","REMINDER: Growth monitoring programme consultant- needed",437,"Kirk Dearden",2023-03-10,"https://www.en-net.org/question/4819.aspx",NA
"Announcements & Nutritionists needed","Looking for a Senior Nutrition Assessment Advisor",406,"ALEXANDRA RUTISHAUSER",2023-03-09,"https://www.en-net.org/question/4818.aspx",NA
"Announcements & Nutritionists needed","POSITION TO BE FILLED WITH ACF: HEAD OF THE HEALTH & NUTRITION DEPARTMENT IN DRC",385,"Anonymous 41769",2023-03-09,"https://www.en-net.org/question/4817.aspx",NA
"Announcements & Nutritionists needed","CONSULTANCY ON MATERNAL AND INFANT NUTRITION ADVISOR CHILDREN IN EMERGENCIES (WAN-U), MALI-  Extension",384,"Jalaa Abdalrahman",2023-03-04,"https://www.en-net.org/question/4809.aspx",NA
"Announcements & Nutritionists needed","RFQ_ Gender Consultant in Advisory Role_ Meta-Analysis Support",284,"Jalaa Abdalrahman",2023-03-04,"https://www.en-net.org/question/4808.aspx",NA
"Announcements & Nutritionists needed","GMP consultant- needed",308,"Kirk Dearden",2023-03-03,"https://www.en-net.org/question/4805.aspx",NA
"Announcements & Nutritionists needed","CONSULTANCY ON MATERNAL AND INFANT NUTRITION ADVISOR CHILDREN IN EMERGENCIES (WAN-U), MALI- Extension",322,"Jalaa Abdalrahman",2023-02-28,"https://www.en-net.org/question/4800.aspx",NA
"Announcements & Nutritionists needed","CONSULTANCY ON MATERNAL AND INFANT NUTRITION ADVISOR CHILDREN IN EMERGENCIES (WAN-U), MALI.",472,"Jalaa Abdalrahman",2023-02-23,"https://www.en-net.org/question/4796.aspx",NA
"Announcements & Nutritionists needed","Consultancy opportunity - ENN IFE-CFE Consultant",577,"Office ENN",2023-02-23,"https://www.en-net.org/question/4795.aspx",NA
"Announcements & Nutritionists needed","CONSULTANCY ON MAMI AND IYCF-E SUPPORT TO MOZAMBIQUE- Closing date is extended to Feb 22, 2023",336,"Jalaa Abdalrahman",2023-02-17,"https://www.en-net.org/question/4793.aspx",NA
